,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,1.701077682,1.62606950747231,0.07500817452769004
sample_2,1.384165099,1.3971341403767923,-0.012969041376792223
sample_3,0.62991175,0.6822125657429388,-0.05230081574293877
sample_4,1.153340482,1.1141609669306272,0.03917951506937278
sample_5,0.863543316,0.8407201161086715,0.022823199891328527
sample_6,0.697797054,0.6296964251971491,0.06810062880285095
sample_7,1.216231803,1.0814466739078084,0.13478512909219154
sample_8,0.997491993,0.8806145100458711,0.11687748295412892
sample_9,1.418850602,1.4760531737625946,-0.05720257176259458
sample_10,1.472972297,1.4768268694886713,-0.0038545724886711596
sample_11,2.287695199,2.3123189013036423,-0.024623702303642414
sample_12,1.193394553,1.1698365997402538,0.0235579532597463
sample_13,1.625700387,1.6376916623537334,-0.011991275353733455
sample_14,0.041967385,-0.24551651809596375,0.2874839030959638
sample_15,2.011389451,2.029665643371348,-0.01827619237134792
sample_16,2.784023518,2.676027621325905,0.10799589667409526
sample_17,0.880751278,1.0025194844991283,-0.12176820649912834
sample_18,1.18160239,1.2494023094609579,-0.06779991946095798
sample_19,0.943150314,0.9639068051044903,-0.020756491104490293
sample_20,1.859425165,1.9274846536587682,-0.06805948865876821
sample_21,1.57061291,1.5564627354480576,0.01415017455194234
sample_22,1.234014865,1.2430304257111116,-0.009015560711111537
sample_23,1.007223894,1.035174525555738,-0.02795063155573807
sample_24,1.376971301,1.3723414396598168,0.004629861340183172
sample_25,1.017290356,1.0506750008923507,-0.03338464489235071
sample_26,1.628854711,1.5590564367970405,0.06979827420295948
sample_27,0.999949726,1.0114166055642868,-0.011466879564286825
sample_28,2.550585595,2.453555285505084,0.09703030949491565
sample_29,0.673947172,0.7089921827660298,-0.03504501076602984
sample_30,2.612969356,2.6801859661933385,-0.06721661019333869
