,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,1.701077682,1.700701291554129,0.0003763904458709,0.01359157753014555
sample_2,1.384165099,1.3859502714034182,-0.0017851724034181338,0.013029774177480921
sample_3,0.62991175,0.6342157778897549,-0.0043040278897549245,0.013482583228754357
sample_4,1.153340482,1.147163159393195,0.006177322606804925,0.012925211593899796
sample_5,0.863543316,0.8596462462941643,0.0038970697058356984,0.012660308199618386
sample_6,0.697797054,0.6945240629194382,0.0032729910805617823,0.013404979456537815
sample_7,1.216231803,1.2122856040225751,0.003946198977424764,0.013508530543168196
sample_8,0.997491993,0.9972458067526869,0.000246186247313096,0.013586097521635561
sample_9,1.418850602,1.4195260668195864,-0.0006754648195863577,0.01356313576340486
sample_10,1.472972297,1.4735824015886703,-0.0006101045886701684,0.013332404465499909
sample_11,2.287695199,2.289016765358385,-0.0013215663583849846,0.013483888097912995
sample_12,1.193394553,1.1927637661717911,0.0006307868282089402,0.013590255991867747
sample_13,1.625700387,1.6273536154970036,-0.001653228497003667,0.013058680511188834
sample_14,0.041967385,0.04128143346992896,0.0006859515300710398,0.013596201519278862
sample_15,2.011389451,2.01049778460262,0.0008916663973796979,0.01330756574366829
sample_16,2.784023518,2.780275488536466,0.0037480294635341416,0.01347102059222639
sample_17,0.880751278,0.8822954397235064,-0.0015441617235064653,0.013558397706040379
sample_18,1.18160239,1.1823710061155999,-0.0007686161155999738,0.013557221208800757
sample_19,0.943150314,0.9500104276422817,-0.006860113642281673,0.012687030331787082
sample_20,1.859425165,1.8621443313166126,-0.00271916631661262,0.013488317037295623
sample_21,1.57061291,1.5704281884315918,0.00018472156840809717,0.013521823316441969
sample_22,1.234014865,1.2334219731856053,0.0005928918143947026,0.013164036781778316
sample_23,1.007223894,1.0083141199285233,-0.0010902259285232585,0.013494532403549905
sample_24,1.376971301,1.3753297344132345,0.0016415665867655083,0.013247332373244198
sample_25,1.017290356,1.017586612735959,-0.0002962567359590107,0.01349419157823367
sample_26,1.628854711,1.6283050745487349,0.0005496364512651564,0.013588742914515199
sample_27,0.999949726,0.9998006583206143,0.00014906767938571708,0.013156973565211161
sample_28,2.550585595,2.549591346351533,0.0009942486484666446,0.013553770331985364
sample_29,0.673947172,0.675852238068389,-0.0019050660683890275,0.013391337046939058
sample_30,2.612969356,2.615356303616368,-0.0023869476163680403,0.013448677817023483
