,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,1.556572063,1.3483055394954193,0.20826652350458064
sample_2,-2.223486445,-2.206366911552525,-0.017119533447474744
sample_3,0.53255007,0.42443762057029755,0.10811244942970244
sample_4,-3.932083923,-3.8742366757063578,-0.05784724729364221
sample_5,-2.15668109,-2.2103870100350593,0.05370592003505914
sample_6,-0.568406517,-0.5428086607997995,-0.025597856200200497
sample_7,0.412452142,0.19145619909028977,0.22099594290971025
sample_8,1.997437829,1.6650676224518528,0.3323702065481473
sample_9,2.257829108,2.5994350254075225,-0.34160591740752233
sample_10,-1.196575193,-1.1441012191547844,-0.05247397384521557
sample_11,-1.886941521,-1.9896239642379456,0.10268244323794562
sample_12,-3.809209988,-3.4166623824322673,-0.3925476055677328
sample_13,-1.649286117,-1.5324064057964162,-0.11687971120358376
sample_14,-0.321092142,-0.3624854885084715,0.041393346508471485
sample_15,-0.765568967,-0.9505180884855782,0.18494912148557818
sample_16,-1.850809623,-1.745618089392905,-0.10519153360709499
sample_17,-0.68992493,-0.6155811830663516,-0.07434374693364842
sample_18,1.55038033,1.5634509198508457,-0.013070589850845638
sample_19,-3.327200761,-3.3292478609652942,0.0020470999652943966
sample_20,-0.71518851,-0.6032116409216779,-0.11197686907832216
sample_21,-2.289500675,-2.4547989311991203,0.16529825619912009
sample_22,-0.86103002,-0.8462996035774888,-0.014730416422511161
sample_23,-4.223350076,-4.292288098346871,0.06893802234687119
sample_24,-0.569564796,-0.5192629018388218,-0.05030189416117814
sample_25,-1.831920845,-1.7001793119710125,-0.1317415330289875
sample_26,3.252993521,3.142368638070557,0.11062488292944295
sample_27,-0.040978586,-0.1265577186275585,0.0855791326275585
sample_28,2.118231293,1.8566170404364626,0.26161425256353743
sample_29,-2.007604067,-1.9771400205889613,-0.030464046411038614
sample_30,-0.071356476,-0.08377893965209904,0.012422463652099036
