,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,1.556572063,1.5565087321807947,6.333081920528727e-05,0.00857480745447234
sample_2,-2.223486445,-2.2240431192994468,0.0005566742994469465,0.008538935917226794
sample_3,0.53255007,0.5327553855347624,-0.00020531553476244024,0.008568336226504096
sample_4,-3.932083923,-3.932007813787844,-7.610921215617239e-05,0.008523776327227858
sample_5,-2.15668109,-2.1572711012726185,0.0005900112726182627,0.00849936091665095
sample_6,-0.568406517,-0.5684161272185878,9.61021858780775e-06,0.008564309003576276
sample_7,0.412452142,0.41217098505740357,0.00028115694259644997,0.00856924271824796
sample_8,1.997437829,1.9973622427954156,7.558620458447685e-05,0.008574508103148993
sample_9,2.257829108,2.2581024243449432,-0.00027331634494309753,0.008573364252893246
sample_10,-1.196575193,-1.1965535753333616,-2.1617666638329425e-05,0.008558891083281053
sample_11,-1.886941521,-1.8871739624054604,0.00023244140546041514,0.008568402212639877
sample_12,-3.809209988,-3.8090839087092494,-0.00012607929075070246,0.008574694210777075
sample_13,-1.649286117,-1.6473821138398832,-0.0019040031601167406,0.008540212020680954
sample_14,-0.321092142,-0.3211390384816501,4.689648165007165e-05,0.008574999208518444
sample_15,-0.765568967,-0.767119275007881,0.0015503080078810294,0.008555737840848024
sample_16,-1.850809623,-1.850607396594181,-0.00020222640581901707,0.008567385498228938
sample_17,-0.68992493,-0.6898434244134164,-8.150558658359675e-05,0.00857301969278816
sample_18,1.55038033,1.5504587551432336,-7.842514323352923e-05,0.008572910383805562
sample_19,-3.327200761,-3.3272019510859345,1.1900859346880566e-06,0.008500161900575353
sample_20,-0.71518851,-0.7149488351564517,-0.00023967484354836532,0.00856791735417837
sample_21,-2.289500675,-2.289581057204198,8.038220419770425e-05,0.008570541414509556
sample_22,-0.86103002,-0.8609120246638972,-0.00011799533610279411,0.008548963888891734
sample_23,-4.223350076,-4.223450004602068,9.992860206775589e-05,0.00856894113065085
sample_24,-0.569564796,-0.5694280063433825,-0.00013678965661745313,0.008551506071679638
sample_25,-1.831920845,-1.8318602650389897,-6.0579961010276406e-05,0.008569359982757044
sample_26,3.252993521,3.2528689328145584,0.00012458818544169858,0.008574661229960864
sample_27,-0.040978586,-0.0412640337773873,0.00028544777738730154,0.00854732770128475
sample_28,2.118231293,2.1179774126793314,0.0002538803206686424,0.008572629880482692
sample_29,-2.007604067,-2.00734058924271,-0.00026347775729007594,0.00856068954138414
sample_30,-0.071356476,-0.07091962488327486,-0.00043685111672514543,0.00856589823980523
